No.,Trigpoint Name,TP:UK Reference & Link,Trig Type,Condition,Height (m),Grid Ref
1,Ben Klibreck,TP9323,Pillar,Toppled,961.6,NC5852629917
2,Sgurr na Ciche,TP8527,Pillar,Remains,1040.3,NM9021796682
3,Coventry Airfield 2,TP8133,Pillar,Good,0.0,SP3538874990
4,Bembridge Fort,TP8116,Pillar,Toppled,0.0,SZ6238486123
5,Louven Howe Aux 2,TP7931,Pillar,Damaged,0.0,SE8539798753
6,Louven Howe Aux 1,TP7930,Pillar,Damaged,299.3,SE8857999215
7,Tully,TP7892,Pillar,Unknown,0.0,NW1593061026
8,Castle Hill,TP7891,Pillar,Slightly damaged,0.0,TR2132037913
9,Sgeir an Araig,TP7866,Pillar,Good,0.0,NG8320089800
10,Gob a' Gheodha,TP7865,Pillar,Good,0.0,NG8370094600
11,Tory Hall Farm,TP7864,Pillar,Good,0.0,SU9053572623
12,Coventry Airfield,TP7814,Pillar,Good,0.0,SP3620175545
13,Harrington North,TP7692,Pillar,Moved,0.0,SP7729977973
14,Slieve Donard (New),TP7678,Pillar,Slightly damaged,0.0,SB4424583151
15,Clogher,TP7664,Pillar,Slightly damaged,0.0,NW3648812317
16,Hillhead,TP7663,Pillar,Unknown,0.0,SB4188674513
17,Harrington South,TP7657,Pillar,Moved,0.0,SP7741477631
18,Ouley,TP7655,Pillar,Good,0.0,NW4968617824
19,Carys Fort,TP7654,Pillar,Toppled,0.0,NW5398809205
20,Magheraknock Fort,TP7653,Pillar,Slightly damaged,0.0,NW4529211404
21,Tullyard,TP7652,Pillar,Good,0.0,NW4312618947
22,Ballycowan,TP7651,Pillar,Good,0.0,NW4572621646
23,Battery Hill,TP7650,Pillar,Good,0.0,NW1817051822
24,Aughrim Hill,TP7649,Pillar,Slightly damaged,0.0,NW1057650701
25,Morris Hill,TP7648,Pillar,Good,0.0,NW1821646591
26,Crew Hill,TP7641,Pillar,Good,0.0,NW3031127101
27,Collin Mountain,TP7640,Pillar,Slightly damaged,0.0,NW3824926702
28,Knockore,TP7639,Pillar,Slightly damaged,0.0,NW4424678443
29,Browndod,TP7635,Pillar,Good,0.0,NW3464848766
30,Cannon Hill,TP7633,Pillar,Slightly damaged,0.0,NW0143508553
31,Vicars Cairn,TP7631,Pillar,Slightly damaged,0.0,SB0102698938
32,Holywell Hill,TP7629,Pillar,Good,0.0,NV5492380462
33,Beam,TP7628,Pillar,Good,0.0,NQ5417302661
34,Coolcross Hill,TP7627,Pillar,Good,0.0,NQ5944110144
35,Middle Town,TP7626,Pillar,Good,0.0,NQ6038921114
36,Crockalough,TP7625,Pillar,Good,0.0,NQ6577019443
37,Bishops Hill,TP7624,Pillar,Good,0.0,NQ7383010408
38,Crockaulin,TP7623,Pillar,Good,0.0,NQ8095703364
39,Creehennan Hill,TP7622,Pillar,Good,0.0,NV6815998239
40,Foglish,TP7613,Pillar,Slightly damaged,0.0,NV5512707928
41,Hazelbank,TP7612,Pillar,Slightly damaged,0.0,NV4856005615
42,Lislea,TP7611,Pillar,Good,0.0,NV4383505234
43,Cloghcor New,TP7610,Pillar,Good,0.0,NV3941104959
44,Banagher,TP7608,Pillar,Good,0.0,NV2999313169
45,Ballaghmore,TP7607,Pillar,Slightly damaged,0.0,NV3129009059
46,Breagho,TP7606,Pillar,Good,0.0,NV3695213107
47,Cronstown,TP7603,Pillar,Good,0.0,NW6393929794
48,Willy,TP7602,Pillar,Toppled,0.0,NW6781831850
49,Windmill Hill,TP7601,Pillar,Slightly damaged,0.0,NW7547215620
50,Tara Fort,TP7600,Pillar,Good,0.0,NW7280901597
51,Fairview,TP7599,Pillar,Good,0.0,NW2900057594
52,Craigantlet,TP7598,Pillar,Good,0.0,NW5257430722
53,Braniel Hill,TP7597,Pillar,Good,0.0,NW5124026494
54,Casaeldona,TP7596,Pillar,Slightly damaged,0.0,NW4956926436
55,Knockbreda New,TP7595,Pillar,Damaged,0.0,NW4801125355
56,Ballylumford,TP7594,Pillar,Slightly damaged,0.0,NW5767156317
57,Whitish Hill,TP7593,Pillar,Good,0.0,NW6041354586
58,Killead,TP7592,Pillar,Good,0.0,NW3023336615
59,Lyles Hill,TP7591,Pillar,Slightly damaged,0.0,NW3797139054
60,Carnaghliss,TP7590,Pillar,Good,0.0,NW4137934248
61,Carearney,TP7589,Pillar,Good,0.0,NW3174849488
62,National Library of Scotland Exhibition,TP7577,Pillar,Good,0.0,NT2637072160
63,North Luffenham North,TP7559,Pillar,Damaged,0.0,SK9524504796
64,North Luffenham South,TP7558,Pillar,Slightly damaged,0.0,SK9483604746
65,Top Farm,TP7556,Pillar,Converted,0.0,TL2177787458
